"mape","daycounts"
0.0102172320587673,1
0.0323468561720823,2
0.18836189078387,3
0.214079642783427,4
0.232090838289693,5
1.23956618276836,6
0.590304493359393,7
0.304467877104073,8
0.37301234545156,9
0.0506240621854679,10
0.0420572431359496,11
0.240709315965615,12
0.213523706931152,13
0.143323702771768,14
0.162080386117316,15
0.161704092565497,16
0.0707782236383249,17
0.115802670244727,18
0.14858781018119,19
0.103748678311837,20
0.0911409374031066,21
0.112101047575318,22
0.0828854905686262,23
0.0665746389424281,24
0.0529050911656683,25
0.0515740740068387,26
0.0444030733522192,27
0.0830222912666916,28
0.0836113025537018,29
0.134977317337916,30
0.0896032688327072,31
0.0805529648526234,32
