"mape","daycounts"
0.165782654946729,13
0.163228830004131,14
0.186320331792821,15
0.142368960748511,16
0.137463247253454,17
0.271891497416976,18
0.577392261304244,19
0.368342127971815,20
0.241865271632194,21
0.0995391122993686,22
0.166519083051627,23
0.162550246045292,24
0.291226534744634,25
0.535966052698387,26
1.13147858133142,27
0.182590679501805,28
0.139885472771816,29
0.1587903561269,30
0.160957481173946,31
0.177650648197517,32
0.340206059946389,33
0.28552652680428,34
0.224187850532663,35
0.118277114166364,36
0.119529581777881,37
0.151974615496669,38
0.146901734779018,39
0.0363836858528855,40
0.0983909984482795,41
0.109414132805679,42
0.253347785405379,43
0.227587712938878,44
0.133751991905942,45
0.134501423426387,46
0.144369402856299,47
0.167191111066504,48
0.219214176397903,49
0.244632748459308,50
0.157414098868357,51
0.15405837434077,52
0.11415776355656,53
0.407508629954282,54
0.334925716439806,55
0.462867152986415,56
