"mape","daycounts"
0.0390412206353209,1
0.0503477452786601,2
0.120923664323227,3
0.0670017464245382,4
0.28076565387153,5
0.223866176715994,6
0.159991860601231,7
0.17547668004282,8
0.115139484219334,9
0.059468286141147,10
0.0690261669924579,11
0.143561106414569,12
0.107754143858597,13
0.0698917512040953,14
0.138081473329533,15
0.171895007116674,16
0.129088157554906,17
0.0563295055404338,18
0.0870358034409309,19
0.0967695314942665,20
0.154449074730241,21
0.133907819166541,22
0.124326396290564,23
0.0888413011435616,24
0.0661686580342742,25
0.0606048815647622,26
0.0557490226529773,27
0.073231249766585,28
0.132018911964384,29
0.157382607280976,30
0.137389570454097,31
