"mape","daycounts"
0.0602067314529589,1
0.0347937063740471,2
0.036755776879734,3
0.195938145447487,4
0.156471454310173,5
0.103446258309019,6
0.0686346900605362,7
0.0559713309137118,8
0.058391001642974,9
0.145009484231583,10
0.0529871316472552,11
0.04125328434925,12
0.0432138592510405,13
0.338023272145,14
0.206824795122441,15
0.179664494774569,16
0.0893805044588996,17
0.125668136719281,18
0.0439528888623296,19
0.0642255994294036,20
0.041192756606666,21
0.0804228422757489,22
0.0868928947339939,23
0.103711672115036,24
0.131373520500939,25
0.176718953369691,26
0.0240536216267134,27
0.0306355732564104,28
0.132671561292836,29
0.0420901169276193,30
0.0810020602616861,31
