"mape","daycounts"
0.0327119841095312,1
0.0128210049806144,2
0.162862850324175,3
0.111414271201484,4
0.133823852042602,5
0.0697386737659397,6
0.181982826654809,7
0.031611544554954,8
0.0626007367183867,9
0.148539969894372,10
0.16580607959478,11
0.113098306792538,12
0.18004669142782,13
0.137582681104823,14
0.158695607105567,15
0.0553935184179722,16
0.130755148207916,17
0.139559645993385,18
0.103860246189755,19
0.131065115357411,20
0.060441841329129,21
0.0243062335395024,22
1.13040576946463,23
0.181387821251494,24
0.138992450859112,25
0.0858548911114619,26
0.100747686950595,27
0.0889650397581173,28
0.0202160936864449,29
0.113113393604748,30
0.145992767681906,31
0.249100814184675,32
0.126838798720582,33
0.120471560823714,34
0.0714019490873905,35
0.211545767376297,36
0.0833915898121638,37
0.165591315703489,38
0.0432428683874854,39
0.0275198179326777,40
0.0985402852370561,41
