"mape","daycounts"
0.182291666666667,1
0.1171875,2
0.118055555555556,3
0.129427083333333,4
0.113958333333333,5
0.122916666666667,6
0.0654761904761905,7
0.0938802083333333,8
0.119791666666667,9
0.108541666666667,10
0.120833333333333,11
0.116319444444444,12
0.148798076923077,13
0.0629464285714286,14
0.0840277777777778,15
0.097265625,16
0.125122549019608,17
0.1328125,18
0.0986842105263158,19
0.114010416666667,20
0.0785714285714286,21
0.0572916666666667,22
0.106929347826087,23
0.0884548611111111,24
0.09425,25
0.0735576923076923,26
0.128433641975309,27
0.0857142857142857,28
0.144863505747126,29
0.112326388888889,30
