"mape","daycounts"
0.0447018998513564,1
0.146446657961604,2
0.0700059602233515,3
0.0308125411725955,4
0.121904049897471,5
0.0479630348516218,6
0.274942104034596,7
0.33548113255719,8
0.0506388614404919,9
0.0441636387782698,10
0.0768931665337298,11
0.0534622721783048,12
0.146334542435549,13
0.103884901330554,14
0.0564876325365456,15
0.185073131240965,16
0.208522760341979,17
0.0701388888888889,18
0.0462288069482005,19
0.0693233078063241,20
0.205713742400087,21
0.0932527461276027,22
0.101021145722233,23
0.0613083635156778,24
0.048847343779409,25
0.203594850486345,26
0.0794386182958911,27
0.0686538533695814,28
0.184012934180146,29
0.213848954838857,30
0.164149122970641,31
0.191710736515001,32
0.440673276886512,33
0.424475215621594,34
