"mape","daycounts"
0.215941553058093,20
0.179651579576361,21
0.179923218556508,22
0.163423318852498,23
0.167003449061303,24
0.175834230214962,25
0.125478006845798,26
0.142374145919129,27
0.139749734116509,28
0.138694997303429,29
0.165739248484,30
0.116233521214572,31
0.148611516556173,32
0.112533262656715,33
0.114380690893766,34
0.222434158879282,35
0.262358643659276,36
0.0977519497901901,37
0.107183996392857,38
0.0788495471431232,39
0.114650240033443,40
0.103684941893795,41
0.144060272956054,42
0.153712460270114,43
0.430444027361521,44
0.378127598430826,45
0.087673049608497,46
0.0885679996820796,47
0.133652505325336,48
0.152485130171097,49
0.0813751702774518,50
0.139356691948395,51
0.0826069069479071,52
0.0641898398905927,53
0.0856456936050802,54
0.0918596895955077,55
0.0941208088331412,56
0.0877040762181451,57
0.049301994477067,58
0.179617005196543,59
0.213903319093945,60
