"mape","daycounts"
0.0520711874488097,1
0.0759375992617448,2
0.261600915545085,3
0.180666600547123,4
0.20440904997788,5
0.178445897860218,6
0.29486606363768,7
0.236096266760654,8
0.0718744730410455,9
0.0426290680662173,10
0.14687656395677,11
0.135014611611226,12
0.0758619189220241,13
0.120053743403115,14
0.098771703082307,15
0.183345128561465,16
0.156707630592757,17
0.157761051662447,18
0.113337021815219,19
0.165351893605603,20
0.101521342819918,21
0.0780307396439319,22
0.0485380397438769,23
0.0429330966078351,24
0.159711010042397,25
0.0669440482824048,26
0.029736680480146,27
0.0648534580579599,28
0.0754208550908438,29
0.0530256787568581,30
0.047202377567614,31
0.0445287040236068,32
0.230864766496502,33
0.20878699866096,34
