"mape","daycounts"
0.225598476679483,1
0.208133110214535,2
0.0876895984169002,3
0.0318010438348975,4
1.25541564184012,5
0.982169122363642,6
0.656836880809008,7
0.710716378798551,8
0.72672911983083,9
0.59914420414495,10
0.272604836261977,11
0.189372699452408,12
0.0633609333957298,13
0.345700303775665,14
0.835571694741396,15
0.939049297481455,16
0.43892903407765,17
0.498162090206142,18
0.490436897032089,19
0.463954357959072,20
0.945915571550214,21
0.551205093853864,22
0.483594917721481,23
0.183657914036059,24
0.166817924491009,25
0.265338596243094,26
0.407305081674608,27
0.290708587355339,28
0.408733046899463,29
0.312792904793206,30
0.437171555255551,31
0.100003976130785,32
0.175882363242811,33
0.119246123099707,34
0.30188508876797,35
0.179877391693353,36
