"mape","daycounts"
0.0525776359548706,1
0.0346183897668969,2
0.215312540308501,3
0.145330235739279,4
0.190262333943703,5
0.222685133236177,6
0.0700875125567561,7
0.151595179148947,8
0.204137079706057,9
0.0748298196582942,10
0.0644207784750214,11
0.083636328269167,12
0.0809465374756758,13
0.0319324177270667,14
0.053992782200985,15
0.0259476952375277,16
0.0578907530616655,17
0.0293917483831213,18
0.115893748811981,19
0.130380387821912,20
0.0969238426769236,21
0.0352395716011043,22
0.228713352934596,23
0.0902295604739584,24
0.0981724583285305,25
0.0705783326248779,26
0.203449273803664,27
0.0919679739345496,28
0.150380665698614,29
0.0978697249262132,30
