"mape","daycounts"
0.0790844572094572,1
0.0412805944055944,2
0.19059357717446,3
0.130096179096639,4
0.0970604395604395,5
0.0797580891330891,6
0.0963723776223776,7
0.11421130952381,8
0.0470455470455471,9
0.175883884803922,10
0.18148568139377,11
0.111309523809524,12
0.185104402337858,13
0.149113707983193,14
0.0722229853479854,15
0.0415579212454212,16
0.0988734917043741,17
0.0705156533281533,18
0.051266989589358,19
0.0405992445054945,20
0.0432703209488924,21
0.0595373376623377,22
0.117370401337793,23
0.0484098366910867,24
0.0478031135531136,25
0.0967659179056238,26
0.0374949124949125,27
0.152186734068627,28
0.302825670498084,29
