"Building","Strategy","Date","Day"
"ALM","VFD","4/30/2014","Wednesday"
"ALM","VFD","5/19/2014","Monday"
"ALM","VFD","5/2/2014","Friday"
"ALM","VFD","5/21/2014","Wednesday"
"ALM","VFD","7/25/2014","Friday"
"ALM","VFD","8/11/2014","Monday"
"ALM","VFD","8/18/2014","Monday"
"ALM","VFD","8/20/2014","Wednesday"
"ALM","VFD","9/16/2014","Tuesday"
"ALM","VFD","9/17/2014","Wednesday"
"ALM","VFD","9/23/2014","Tuesday"
"ALM","VFD","9/26/2014","Friday"
"ASC","VFD","4/30/2014","Wednesday"
"ASC","VFD","5/2/2014","Friday"
"ASC","VFD","5/20/2014","Tuesday"
"ASC","VFD","5/22/2014","Thursday"
"ASC","VFD","7/25/2014","Friday"
"ASC","VFD","8/11/2014","Monday"
"ASC","VFD","8/18/2014","Monday"
"ASC","VFD","8/20/2014","Wednesday"
"ASC","VFD","9/16/2014","Tuesday"
"ASC","VFD","9/17/2014","Wednesday"
"ASC","VFD","9/23/2014","Tuesday"
"ASC","VFD","9/26/2014","Friday"
"BHE","VFD","4/30/2014","Wednesday"
"BHE","VFD","5/19/2014","Monday"
"BHE","VFD","5/2/2014","Friday"
"BHE","VFD","5/21/2014","Wednesday"
"BHE","VFD","9/16/2014","Tuesday"
"BHE","VFD","9/17/2014","Wednesday"
"BHE","VFD","9/23/2014","Tuesday"
"BHE","VFD","9/26/2014","Friday"
"BKS","VFD","4/30/2014","Wednesday"
"BKS","VFD","5/2/2014","Friday"
"BKS","VFD","5/20/2014","Tuesday"
"BKS","VFD","5/22/2014","Thursday"
"BKS","VFD","7/25/2014","Friday"
"BKS","VFD","8/11/2014","Monday"
"BKS","VFD","8/18/2014","Monday"
"BKS","VFD","8/20/2014","Wednesday"
"BKS","VFD","9/16/2014","Tuesday"
"BKS","VFD","9/17/2014","Wednesday"
"BKS","VFD","9/23/2014","Tuesday"
"BKS","VFD","9/26/2014","Friday"
"BRI","DUTY","4/30/2014","Wednesday"
"BRI","DUTY","5/2/2014","Friday"
"BRI","DUTY","9/16/2014","Tuesday"
"BRI","DUTY","9/17/2014","Wednesday"
"BRI","DUTY","9/23/2014","Tuesday"
"BRI","GTR & DUTY","5/19/2014","Monday"
"BRI","GTR & DUTY","5/21/2014","Wednesday"
"CAL","VFD","9/16/2014","Tuesday"
"CAL","VFD","9/17/2014","Wednesday"
"CAL","VFD","9/23/2014","Tuesday"
"CAL","VFD","9/26/2014","Friday"
"CDF","VFD","5/19/2014","Monday"
"CDF","VFD","5/21/2014","Wednesday"
"CDF","VFD","9/10/2014","Wednesday"
"CDF","VFD","9/12/2014","Friday"
"CDF","VFD","9/16/2014","Tuesday"
"CDF","VFD","9/17/2014","Wednesday"
"CDF","VFD","9/23/2014","Tuesday"
"CDF","VFD","9/26/2014","Friday"
"CDF","VFD","9/8/2014","Monday"
"DML","VFD","9/10/2014","Wednesday"
"DML","VFD","9/12/2014","Friday"
"DML","VFD","9/16/2014","Tuesday"
"DML","VFD","9/17/2014","Wednesday"
"DML","VFD","9/23/2014","Tuesday"
"DML","VFD","9/26/2014","Friday"
"DML","VFD","9/8/2014","Monday"
"DRB","GTR","7/25/2014","Friday"
"DRB","GTR & VFD","5/20/2014","Tuesday"
"DRB","GTR & VFD","5/22/2014","Thursday"
"DRB","VFD","4/30/2014","Wednesday"
"DRB","VFD","5/2/2014","Friday"
"DRB","VFD","8/18/2014","Monday"
"DRB","VFD","9/16/2014","Tuesday"
"DRB","VFD","9/17/2014","Wednesday"
"DRB","VFD","9/23/2014","Tuesday"
"EEB","VFD","4/30/2014","Wednesday"
"EEB","VFD","5/19/2014","Monday"
"EEB","VFD","5/2/2014","Friday"
"EEB","VFD","5/21/2014","Wednesday"
"EEB","VFD","9/16/2014","Tuesday"
"EEB","VFD","9/17/2014","Wednesday"
"EEB","VFD","9/23/2014","Tuesday"
"EEB","VFD","9/26/2014","Friday"
"ESH","VFD","4/30/2014","Wednesday"
"ESH","VFD","5/2/2014","Friday"
"ESH","VFD","5/20/2014","Tuesday"
"ESH","VFD","5/22/2014","Thursday"
"ESH","VFD","9/10/2014","Wednesday"
"ESH","VFD","9/12/2014","Friday"
"ESH","VFD","9/16/2014","Tuesday"
"ESH","VFD","9/17/2014","Wednesday"
"ESH","VFD","9/23/2014","Tuesday"
"ESH","VFD","9/26/2014","Friday"
"ESH","VFD","9/8/2014","Monday"
"GER","VFD","9/10/2014","Wednesday"
"GER","VFD","9/12/2014","Friday"
"GER","VFD","9/16/2014","Tuesday"
"GER","VFD","9/17/2014","Wednesday"
"GER","VFD","9/23/2014","Tuesday"
"GER","VFD","9/26/2014","Friday"
"GER","VFD","9/8/2014","Monday"
"GFS","GTR","7/25/2014","Friday"
"GFS","GTR & VFD","5/20/2014","Tuesday"
"GFS","GTR & VFD","5/22/2014","Thursday"
"GFS","VFD","4/30/2014","Wednesday"
"GFS","VFD","5/2/2014","Friday"
"GFS","VFD","9/16/2014","Tuesday"
"GFS","VFD","9/17/2014","Wednesday"
"GFS","VFD","9/23/2014","Tuesday"
"HAR","VFD","9/16/2014","Tuesday"
"HAR","VFD","9/17/2014","Wednesday"
"HAR","VFD & DUTY","4/29/2014","Tuesday"
"HAR","VFD & DUTY","5/1/2014","Thursday"
"HAR","VFD & DUTY","5/19/2014","Monday"
"HAR","VFD & DUTY","5/21/2014","Wednesday"
"HNB","VFD","9/10/2014","Wednesday"
"HNB","VFD","9/12/2014","Friday"
"HNB","VFD","9/16/2014","Tuesday"
"HNB","VFD","9/17/2014","Wednesday"
"HNB","VFD","9/23/2014","Tuesday"
"HNB","VFD","9/26/2014","Friday"
"HNB","VFD","9/8/2014","Monday"
"HOH","VFD","4/30/2014","Wednesday"
"HOH","VFD","5/2/2014","Friday"
"HSH","GTR & VFD","5/19/2014","Monday"
"HSH","GTR & VFD","5/21/2014","Wednesday"
"HSH","VFD","4/30/2014","Wednesday"
"HSH","VFD","5/2/2014","Friday"
"HSH","VFD","7/25/2014","Friday"
"HSH","VFD","8/18/2014","Monday"
"HSH","VFD","9/16/2014","Tuesday"
"HSH","VFD","9/17/2014","Wednesday"
"HSH","VFD","9/23/2014","Tuesday"
"JHH","DUTY","4/30/2014","Wednesday"
"JHH","DUTY","5/2/2014","Friday"
"JHH","DUTY","5/20/2014","Tuesday"
"JHH","DUTY","5/22/2014","Thursday"
"JHH","DUTY","9/16/2014","Tuesday"
"JHH","DUTY","9/17/2014","Wednesday"
"JKP","VFD","4/30/2014","Wednesday"
"JKP","VFD","5/19/2014","Monday"
"JKP","VFD","5/2/2014","Friday"
"JKP","VFD","5/21/2014","Wednesday"
"JKP","VFD","9/16/2014","Tuesday"
"JKP","VFD","9/17/2014","Wednesday"
"JKP","VFD","9/23/2014","Tuesday"
"JKP","VFD","9/26/2014","Friday"
"JMC","VFD","9/10/2014","Wednesday"
"JMC","VFD","9/12/2014","Friday"
"JMC","VFD","9/16/2014","Tuesday"
"JMC","VFD","9/17/2014","Wednesday"
"JMC","VFD","9/23/2014","Tuesday"
"JMC","VFD","9/26/2014","Friday"
"JMC","VFD","9/8/2014","Monday"
"KAM","VFD","9/10/2014","Wednesday"
"KAM","VFD","9/12/2014","Friday"
"KAM","VFD","9/16/2014","Tuesday"
"KAM","VFD","9/17/2014","Wednesday"
"KAM","VFD","9/23/2014","Tuesday"
"KAM","VFD","9/26/2014","Friday"
"KAM","VFD","9/8/2014","Monday"
"KAP","GTR & VFD","4/29/2014","Tuesday"
"KAP","GTR & VFD","5/1/2014","Thursday"
"KAP","GTR & VFD","5/20/2014","Tuesday"
"KAP","GTR & VFD","5/22/2014","Thursday"
"KAP","VFD","7/25/2014","Friday"
"KAP","VFD","9/16/2014","Tuesday"
"KAP","VFD","9/23/2014","Tuesday"
"LAW","VFD","4/30/2014","Wednesday"
"LAW","VFD","5/19/2014","Monday"
"LAW","VFD","5/2/2014","Friday"
"LAW","VFD","5/21/2014","Wednesday"
"LAW","VFD","9/16/2014","Tuesday"
"LAW","VFD","9/17/2014","Wednesday"
"LAW","VFD","9/23/2014","Tuesday"
"LAW","VFD","9/26/2014","Friday"
"LRC","GTR","2/10/2014","Monday"
"LRC","GTR","2/12/2014","Wednesday"
"LRC","GTR","2/14/2014","Friday"
"LRC","GTR & VFD & DUTY","5/20/2014","Tuesday"
"LRC","GTR & VFD & DUTY","5/22/2014","Thursday"
"LRC","GTR & VFD","2/18/2014","Tuesday"
"LRC","GTR & VFD","2/20/2014","Thursday"
"LRC","GTR & DUTY","1/7/2014","Tuesday"
"LRC","GTR & DUTY","1/9/2014","Thursday"
"LRC","GTR & DUTY","2/24/2014","Monday"
"LRC","GTR & DUTY","2/26/2014","Wednesday"
"LRC","GTR & DUTY","2/28/2014","Friday"
"LRC","VFD & DUTY","1/13/2014","Monday"
"LRC","VFD & DUTY","1/15/2014","Wednesday"
"LRC","VFD & DUTY","1/17/2014","Friday"
"LRC","VFD & DUTY","1/21/2014","Tuesday"
"LRC","VFD & DUTY","1/23/2014","Thursday"
"LRC","GTR & VFD & DUTY","1/27/2014","Monday"
"LRC","GTR & VFD & DUTY","1/29/2014","Wednesday"
"LRC","GTR & VFD & DUTY","1/31/2014","Friday"
"LRC","GTR & VFD & DUTY","2/4/2014","Tuesday"
"LRC","GTR & VFD & DUTY","2/6/2014","Thursday"
"LRC","VFD","9/16/2014","Tuesday"
"LRC","VFD","9/17/2014","Wednesday"
"LRC","VFD","9/23/2014","Tuesday"
"LRC","VFD & DUTY","4/30/2014","Wednesday"
"LRC","VFD & DUTY","5/2/2014","Friday"
"LVL","VFD","4/30/2014","Wednesday"
"LVL","VFD","5/19/2014","Monday"
"LVL","VFD","5/2/2014","Friday"
"LVL","VFD","5/21/2014","Wednesday"
"MHP","DUTY","4/30/2014","Wednesday"
"MHP","DUTY","5/2/2014","Friday"
"MHP","DUTY","5/20/2014","Tuesday"
"MHP","DUTY","5/22/2014","Thursday"
"MHP","DUTY","9/16/2014","Tuesday"
"MHP","DUTY","9/17/2014","Wednesday"
"MHP","DUTY","9/23/2014","Tuesday"
"MHP","DUTY","9/26/2014","Friday"
"MRF","VFD","4/30/2014","Wednesday"
"MRF","VFD","5/19/2014","Monday"
"MRF","VFD","5/2/2014","Friday"
"MRF","VFD","5/21/2014","Wednesday"
"MRF","VFD","9/16/2014","Tuesday"
