"","buildings","date","strategy","consumption"
"844","VKC","2013-04-23","GTR & VFD & DUTY",848.27
"845","WPH","2013-04-23","DUTY",869.8
"846","ASC","2013-04-25","DUTY",945.81
"847","BRI","2013-04-25","GTR & DUTY",259
"848","DRB","2013-04-25","GTR & VFD",735
"849","HAR","2013-04-25","VFD & DUTY",393
"850","LRC","2013-04-25","DUTY",473.05
"851","OHE","2013-04-25","GTR & VFD",648.84
"852","SAL","2013-04-25","VFD & DUTY",317.97
"853","SCX","2013-04-25","GTR & VFD",67
"854","STU","2013-04-25","GTR & VFD",323
"855","THH","2013-04-25","VFD & DUTY",985
"856","VKC","2013-04-25","GTR & VFD & DUTY",773.48
"857","WPH","2013-04-25","DUTY",840.2
"858","ASC","2013-05-20","GTR & VFD",812.79
"859","LRC","2013-05-20","GTR & VFD",680.88
"860","LVL","2013-05-20","VFD",1763
"861","WPH","2013-05-20","GTR & VFD",870.63
"862","ASC","2013-05-22","GTR & VFD",834.44
"863","LRC","2013-05-22","GTR & VFD",652.06
"864","LVL","2013-05-22","VFD",1001
"865","WPH","2013-05-22","GTR & VFD",703.57
"866","ASC","2013-05-24","GTR & VFD",729.6
"867","LRC","2013-05-24","GTR & VFD",627.77
"868","LVL","2013-05-24","VFD",948
"869","WPH","2013-05-24","GTR & VFD",653.68
"870","ASC","2013-05-28","GTR & VFD",909.33
"871","LRC","2013-05-28","GTR & VFD",671.03
"872","LVL","2013-05-28","VFD",1071
"873","WPH","2013-05-28","GTR & VFD",852.82
"874","ASC","2013-05-30","GTR & VFD",870.44
"875","LRC","2013-05-30","GTR & VFD",682.1
"876","LVL","2013-05-30","VFD",1150
"877","WPH","2013-05-30","GTR & VFD",825.88
"878","ASC","2013-06-09","GTR & VFD",574.26
"879","LRC","2013-06-09","GTR & VFD",647.62
"880","WPH","2013-06-09","GTR & VFD",357.79
"881","ASC","2013-06-03","GTR & DUTY",1084.21
"882","LRC","2013-06-03","GTR & DUTY",457.37
"883","LVL","2013-06-03","GTR & VFD",1054
"884","WPH","2013-06-03","GTR & DUTY",856.63
"885","ASC","2013-06-05","GTR & DUTY",1056.84
"886","LRC","2013-06-05","GTR & DUTY",486.53
"887","LVL","2013-06-05","GTR & VFD",967
"888","WPH","2013-06-05","GTR & DUTY",783.57
"889","ASC","2013-06-07","GTR & DUTY",1016.57
"890","LRC","2013-06-07","GTR & DUTY",578.01
"891","LVL","2013-06-07","GTR & VFD",1298
"892","WPH","2013-06-07","GTR & DUTY",765.84
"893","ASC","2013-06-10","VFD & DUTY",1020.3
"894","LRC","2013-06-10","VFD & DUTY",681.26
"895","WPH","2013-06-10","VFD & DUTY",898.61
"896","ASC","2013-06-12","VFD & DUTY",1045.98
"897","LRC","2013-06-12","VFD & DUTY",663.92
"898","WPH","2013-06-12","VFD & DUTY",861.9
"899","ASC","2013-06-14","VFD & DUTY",926.4
"900","LRC","2013-06-14","VFD & DUTY",693.15
"901","WPH","2013-06-14","VFD & DUTY",816.98
"902","ASC","2013-06-18","VFD & DUTY",856.8
"903","LRC","2013-06-18","VFD & DUTY",520.36
"904","WPH","2013-06-18","VFD & DUTY",833.3
"905","ASC","2013-06-20","VFD & DUTY",852.89
"906","LRC","2013-06-20","VFD & DUTY",513.18
"907","WPH","2013-06-20","VFD & DUTY",826.03
"908","ASC","2013-06-24","GTR & VFD & DUTY",833.84
"909","LRC","2013-06-24","GTR & VFD & DUTY",494.37
"910","WPH","2013-06-24","GTR & VFD & DUTY",740.26
"911","ASC","2013-06-26","GTR & VFD & DUTY",879.03
"912","LRC","2013-06-26","GTR & VFD & DUTY",528.97
"913","WPH","2013-06-26","GTR & VFD & DUTY",851.66
"914","ASC","2013-06-28","GTR & VFD & DUTY",851.8
"915","LRC","2013-06-28","GTR & VFD & DUTY",586.73
"916","WPH","2013-06-28","GTR & VFD & DUTY",886.9
"917","ASC","2013-07-11","GTR & VFD & DUTY",829.06
"918","LRC","2013-07-11","GTR & VFD & DUTY",674.04
"919","WPH","2013-07-11","GTR & VFD & DUTY",881.03
"920","ASC","2013-07-09","GTR & VFD & DUTY",892
"921","LRC","2013-07-09","GTR & VFD & DUTY",761.98
"922","WPH","2013-07-09","GTR & VFD & DUTY",1014.07
"923","DRB","2013-09-23","GTR",1110
"924","GFS","2013-09-23","VFD",432
"925","OHE","2013-09-23","GTR",674
"926","EEB","2013-09-24","VFD",1297
"927","HOH","2013-09-24","VFD",654.3
"928","SWC","2013-09-24","GTR",88.28
"929","EEB","2013-09-26","VFD",1227
"930","GFS","2013-09-26","GTR & VFD",450
"931","HOH","2013-09-26","VFD",624.38
"932","KAP","2013-09-26","VFD",954
"933","SWC","2013-09-26","GTR",89.66
"934","GFS","2013-02-25","GTR",394
"935","HOH","2013-02-25","GTR",831.13
"936","KAP","2013-02-25","GTR",917
"937","SWC","2013-02-25","GTR",82.64
"938","GFS","2013-02-27","GTR",402
"939","HOH","2013-02-27","GTR",824.75
"940","KAP","2013-02-27","GTR",874
"941","SWC","2013-02-27","GTR",92.15
"942","GFS","2013-03-01","GTR",348
"943","HOH","2013-03-01","GTR",803.76
"944","KAP","2013-03-01","GTR",833
"945","SWC","2013-03-01","GTR",88.48
"946","LVL","2013-06-11","GTR & VFD",1048
"947","LVL","2013-06-13","GTR & VFD",1040
"948","SCB","2013-01-15","VFD",217
"949","SCB","2013-01-17","VFD",197
"950","ALM","2014-04-30","VFD",46.13
"951","ASC","2014-04-30","VFD",961.81
"952","BKS","2014-04-30","VFD",509.9
"953","BRI","2014-04-30","DUTY",261
"954","DRB","2014-04-30","VFD",910
"955","EEB","2014-04-30","VFD",1097
"956","GFS","2014-04-30","VFD",314
"957","HOH","2014-04-30","VFD",775.22
"958","JHH","2014-04-30","DUTY",420
"959","JKP","2014-04-30","VFD",512.59
"960","LAW","2014-04-30","VFD",1231
"961","LVL","2014-04-30","VFD",1600
"962","MHP","2014-04-30","DUTY",97.59
"963","MRF","2014-04-30","VFD",395.01
"964","SAL","2014-04-30","VFD & DUTY",381.52
"965","SCB","2014-04-30","VFD",261
"966","SCC","2014-04-30","VFD",57
"967","SCE","2014-04-30","VFD",55
"968","SCX","2014-04-30","VFD",71
"969","SLH","2014-04-30","DUTY",82.64
"970","STU","2014-04-30","VFD",380
"971","SWC","2014-04-30","VFD",82.37
"972","TCC","2014-04-30","GTR & VFD",2039
"973","THH","2014-04-30","VFD & DUTY",1097
"974","WAH","2014-04-30","VFD",792.14
"975","ALM","2014-05-19","VFD",39.74
"976","BRI","2014-05-19","GTR & DUTY",173
"977","EEB","2014-05-19","VFD",977
"978","HAR","2014-05-19","VFD & DUTY",359
"979","JKP","2014-05-19","VFD",433.05
"980","LAW","2014-05-19","VFD",1136
"981","LVL","2014-05-19","VFD",1102
"982","MRF","2014-05-19","VFD",376.9
"983","RGL","2014-05-19","VFD",202
"984","SCB","2014-05-19","GTR & VFD",173
"985","SCE","2014-05-19","VFD",24
"986","SLH","2014-05-19","DUTY",54.12
"987","STU","2014-05-19","VFD",329
"988","TCC","2014-05-19","GTR & VFD",1650
"989","ALM","2014-05-21","VFD",47.21
"990","BRI","2014-05-21","GTR & DUTY",128
"991","EEB","2014-05-21","VFD",919
"992","HAR","2014-05-21","VFD & DUTY",298
"993","JKP","2014-05-21","VFD",442.92
"994","LAW","2014-05-21","VFD",1113
"995","LVL","2014-05-21","VFD",1117
"996","MRF","2014-05-21","VFD",353.79
"997","RGL","2014-05-21","VFD",229
"998","SCB","2014-05-21","GTR & VFD",128
"999","SCE","2014-05-21","VFD",16
"1000","SLH","2014-05-21","DUTY",62.11
"1001","STU","2014-05-21","VFD",324
"1002","TCC","2014-05-21","GTR & VFD",1598
"1003","ALM","2014-07-25","VFD",40.44
"1004","ASC","2014-07-25","VFD",754.09
"1005","BKS","2014-07-25","VFD",502.81
"1006","GFS","2014-07-25","GTR",341
"1007","HSH","2014-07-25","VFD",145.89
"1008","SCB","2014-07-25","GTR",183
"1009","STU","2014-07-25","VFD",330
"1010","TCC","2014-07-25","GTR",1818
"1011","ALM","2014-08-11","VFD",43.11
"1012","ASC","2014-08-11","VFD",737.18
"1013","BKS","2014-08-11","VFD",569.63
"1014","STU","2014-08-11","VFD",406
"1015","ALM","2014-08-18","VFD",48.87
"1016","ASC","2014-08-18","VFD",803.34
"1017","BKS","2014-08-18","VFD",505.92
"1018","HSH","2014-08-18","VFD",167.35
"1019","STU","2014-08-18","VFD",345
"1020","ALM","2014-08-20","VFD",54.39
"1021","ASC","2014-08-20","VFD",919.37
"1022","BKS","2014-08-20","VFD",622.79
"1023","SCB","2014-08-20","GTR",184
"1024","STU","2014-08-20","VFD",373
"1025","ALM","2014-09-16","VFD",47.56
"1026","ASC","2014-09-16","VFD",912.35
"1027","BKS","2014-09-16","VFD",457.22
"1028","BRI","2014-09-16","DUTY",210
"1029","DML","2014-09-16","VFD",1956
"1030","EEB","2014-09-16","VFD",1229
"1031","HAR","2014-09-16","VFD",462
"1032","HNB","2014-09-16","VFD",692
"1033","HSH","2014-09-16","VFD",200.64
"1034","JHH","2014-09-16","DUTY",469
"1035","JKP","2014-09-16","VFD",537.47
"1036","KAM","2014-09-16","VFD",1102.87
"1037","LAW","2014-09-16","VFD",1298
"1038","LRC","2014-09-16","VFD",1771
"1039","MHP","2014-09-16","DUTY",115.69
"1040","MRF","2014-09-16","VFD",454.65
"1041","RGL","2014-09-16","VFD",272
"1042","SCB","2014-09-16","VFD",210
"1043","SCE","2014-09-16","VFD",34
"1044","SCX","2014-09-16","VFD",72
"1045","SLH","2014-09-16","DUTY",73.19
"1046","STU","2014-09-16","VFD",361
"1047","SWC","2014-09-16","VFD",101.03
"1048","THH","2014-09-16","VFD",1229
"1049","WAH","2014-09-16","VFD",796.84
"1050","ALM","2014-09-17","VFD",57.09
"1051","ASC","2014-09-17","VFD",872.31
"1052","BKS","2014-09-17","VFD",450.52
"1053","BRI","2014-09-17","DUTY",216
"1054","DML","2014-09-17","VFD",1229
"1055","EEB","2014-09-17","VFD",1413
"1056","GFS","2014-09-17","VFD",384
"1057","HAR","2014-09-17","VFD",410
"1058","HNB","2014-09-17","VFD",683
"1059","JHH","2014-09-17","DUTY",467
"1060","JKP","2014-09-17","VFD",515.54
"1061","KAM","2014-09-17","VFD",1092.9
"1062","LAW","2014-09-17","VFD",1272
"1063","LRC","2014-09-17","VFD",2261
"1064","MHP","2014-09-17","DUTY",119.04
"1065","MRF","2014-09-17","VFD",413.17
"1066","RGL","2014-09-17","VFD",281
"1067","SAL","2014-09-17","VFD",345.91
"1068","SCB","2014-09-17","VFD",216
"1069","SCE","2014-09-17","VFD",52
"1070","SCX","2014-09-17","VFD",74
"1071","SLH","2014-09-17","DUTY",78.71
"1072","STU","2014-09-17","VFD",366
"1073","SWC","2014-09-17","VFD",87.01
"1074","TCC","2014-09-17","VFD",2057
"1075","THH","2014-09-17","VFD",1413
"1076","VKC","2014-09-17","VFD",1143.79
"1077","WAH","2014-09-17","VFD",991.03
"1078","WPH","2014-09-17","VFD",4322.76
"1079","ALM","2014-09-23","VFD",52.8
"1080","ASC","2014-09-23","VFD",846.91
"1081","BKS","2014-09-23","VFD",511.59
"1082","BRI","2014-09-23","DUTY",449
"1083","DML","2014-09-23","VFD",1245
"1084","EEB","2014-09-23","VFD",1177
"1085","GFS","2014-09-23","VFD",418
"1086","HNB","2014-09-23","VFD",681
"1087","HSH","2014-09-23","VFD",80.8
"1088","JKP","2014-09-23","VFD",537.97
"1089","KAM","2014-09-23","VFD",1089.75
"1090","LAW","2014-09-23","VFD",1299
"1091","LRC","2014-09-23","VFD",1986
"1092","MHP","2014-09-23","DUTY",108.86
"1093","MRF","2014-09-23","VFD",404.36
"1094","RGL","2014-09-23","VFD",277
"1095","SAL","2014-09-23","VFD",320.63
"1096","SCB","2014-09-23","VFD",228
"1097","SCE","2014-09-23","VFD",32
"1098","SCX","2014-09-23","VFD",68
"1099","SLH","2014-09-23","DUTY",72.31
"1100","STU","2014-09-23","VFD",379
"1101","SWC","2014-09-23","VFD",104.79
"1102","TCC","2014-09-23","VFD",2078
"1103","THH","2014-09-23","VFD",1177
"1104","WAH","2014-09-23","VFD",875.53
"1105","WPH","2014-09-23","VFD",3962.8
"1106","ALM","2014-09-26","VFD",53.01
"1107","ASC","2014-09-26","VFD",702.7
"1108","BKS","2014-09-26","VFD",480.88
"1109","DML","2014-09-26","VFD",1229
"1110","EEB","2014-09-26","VFD",962
"1111","HNB","2014-09-26","VFD",652
"1112","KAM","2014-09-26","VFD",979.79
"1113","LAW","2014-09-26","VFD",1257
"1114","MHP","2014-09-26","DUTY",104.76
"1115","MRF","2014-09-26","VFD",332.65
"1116","RGL","2014-09-26","VFD",244
"1117","SAL","2014-09-26","VFD",255.48
"1118","SCB","2014-09-26","VFD",212
"1119","SCC","2014-09-26","VFD",34
"1120","SCE","2014-09-26","VFD",13
"1121","SLH","2014-09-26","DUTY",67.5
"1122","STU","2014-09-26","VFD",347
"1123","TCC","2014-09-26","VFD",2164
"1124","WAH","2014-09-26","VFD",734.78
"1125","ASC","2014-05-20","VFD",852.94
"1126","BKS","2014-05-20","VFD",470.74
"1127","DRB","2014-05-20","GTR & VFD",771
"1128","GFS","2014-05-20","GTR & VFD",258
"1129","JHH","2014-05-20","DUTY",434
"1130","KAP","2014-05-20","GTR & VFD",659
"1131","MHP","2014-05-20","DUTY",78.26
"1132","SAL","2014-05-20","VFD",287.57
"1133","SCC","2014-05-20","VFD",36
"1134","SCX","2014-05-20","VFD",60
"1135","SWC","2014-05-20","VFD",88.23
"1136","THH","2014-05-20","VFD & DUTY",872
"1137","WAH","2014-05-20","VFD",413.84
"1138","ASC","2014-05-22","VFD",745.44
"1139","BKS","2014-05-22","VFD",462.86
"1140","DRB","2014-05-22","GTR & VFD",737
"1141","GFS","2014-05-22","GTR & VFD",260
"1142","JHH","2014-05-22","DUTY",493
"1143","KAP","2014-05-22","GTR & VFD",668
"1144","MHP","2014-05-22","DUTY",75.5
"1145","SAL","2014-05-22","VFD",291.4
"1146","SCC","2014-05-22","VFD",33
"1147","SCX","2014-05-22","VFD",60
"1148","SWC","2014-05-22","VFD",81.55
"1149","THH","2014-05-22","VFD & DUTY",907
"1150","WAH","2014-05-22","VFD",454.68
"1151","DML","2014-09-10","VFD",1220
"1152","HNB","2014-09-10","VFD",672
"1153","KAM","2014-09-10","VFD",1013.57
"1154","DML","2014-09-12","VFD",1240
"1155","HNB","2014-09-12","VFD",683
"1156","KAM","2014-09-12","VFD",1196.9
"1157","DML","2014-09-08","VFD",1231
"1158","HNB","2014-09-08","VFD",672
"1159","KAM","2014-09-08","VFD",1000.01
"1160","HAR","2014-04-29","VFD & DUTY",457
"1161","KAP","2014-04-29","GTR & VFD",776
"1162","RGL","2014-04-29","VFD",222
"1163","HAR","2014-05-01","VFD & DUTY",458
"1164","KAP","2014-05-01","GTR & VFD",807
"1165","RGL","2014-05-01","VFD",223
"1166","LRC","2014-01-07","GTR & DUTY",94.21
"1167","LRC","2014-01-09","GTR & DUTY",86.88
