"mape","daycounts"
0.163423959811785,1
0.0163979161957295,2
0.0574303775038361,3
0.0284310905375131,4
0.0725996170057426,5
0.16869998469222,6
0.0151631824909147,7
0.045065952390071,8
0.010616298501287,9
0.0349992359504298,10
0.0447748323860876,11
0.0198096000143094,12
0.0686515393659952,13
0.993782950492681,14
0.194994500159857,15
0.149213789309118,16
0.147171619448181,17
0.046169507667669,18
0.0277908922708193,19
0.212470950230382,20
0.156792949045938,21
0.282678456596196,22
0.124802228321789,23
0.0267125035358951,24
0.155077432738665,25
0.10510567840779,26
0.170442151449067,27
0.0458868327219423,28
0.126004880557223,29
0.0678741258372149,30
0.0437618802856676,31
0.127150845391382,32
