"mape","daycounts"
0.10301670983333,1
0.0679347566674598,2
0.0809408790829429,3
0.0613028894469037,4
0.0699571229275896,5
0.903976895805033,6
0.284346390649283,7
0.0654118855102152,8
0.230087534706137,9
0.113554643366011,10
0.126587904809565,11
0.0722322486370238,12
0.092983096703546,13
0.0493267810757351,14
0.0726365151921437,15
0.0741407042852358,16
0.0532471337343457,17
0.0562329344144499,18
0.261265753600153,19
0.211080860149126,20
0.052897161330771,21
0.0423335122883085,22
0.25012194073201,23
0.0873004168367891,24
0.0702538641944593,25
0.0439543728619498,26
0.103872256287554,27
0.144625491213552,28
0.0498059959304637,29
0.0539814106560768,30
0.036808255465014,31
0.0821483985905183,32
0.0405632543937886,33
