"mape","daycounts"
0.0738304093567251,1
0.0310296267629859,2
0.308485648811736,3
0.231511265505831,4
0.164041690998213,5
0.157512660253868,6
0.064826174731066,7
0.072714966695945,8
0.118339175808983,9
0.0378099884716732,10
0.0388689686466366,11
0.0395723196640316,12
0.0847204713718092,13
0.0569960383819079,14
0.128240736939731,15
0.105923493462556,16
0.109052093059446,17
0.0992605947505321,18
0.102809449343592,19
0.0813998715404965,20
0.0561332098955028,21
0.118713354812493,22
0.0386089821008299,23
0.0618696210232669,24
0.0439227564102564,25
0.0806299313038371,26
0.0737080563469452,27
0.0348490918803419,28
0.131017272693489,29
0.129177574337938,30
0.129622259015436,31
0.34603802801274,32
