"mape","daycounts"
0.0603639275986598,1
0.0736360995834165,2
0.125466035554094,3
0.0737214052773594,4
0.096662957899121,5
0.102663561338403,6
0.357756151322312,7
0.042612251458344,8
0.0526628812477942,9
0.159056395430019,10
0.156874205343667,11
0.0382531838103693,12
0.0837424595653754,13
0.0450621569735122,14
0.191407764527556,15
0.147326413338079,16
0.305002354902328,17
0.0533712567300813,18
0.0816523048682361,19
0.138986845976076,20
0.111198685712138,21
0.0703023167079923,22
0.658066531057216,23
0.08554791897127,24
0.104394578500875,25
0.0445393942386917,26
0.10070075560685,27
0.0991098598900893,28
0.120887839436356,29
0.0827351204931032,30
0.0943398762303441,31
0.0637769135363784,32
0.123877072565453,33
0.0438702202407565,34
0.0452600401139623,35
0.0943951667489597,36
0.237754794859531,37
