"mape","daycounts"
0.0446164562752754,1
0.121161418735513,2
0.0872805220549217,3
0.181394161038458,4
0.289579801125592,5
0.156102429284422,6
0.295271695972616,7
0.249525580985862,8
0.0698204534426472,9
0.113070575680644,10
0.111865752383579,11
0.164166538427919,12
0.148885270947731,13
0.859151726457383,14
0.421829730841709,15
0.286429091860992,16
0.305166321819046,17
0.291881628779854,18
0.372620780055652,19
0.134925308546676,20
0.113009703504785,21
0.168215170481433,22
0.224973829519401,23
0.147312520367341,24
0.171857051769988,25
0.199989035013966,26
0.27499410906725,27
0.234614674364588,28
0.145672463967915,29
0.184644893675807,30
0.343647751043693,31
0.159100846283702,32
0.165536009698993,33
0.112876525897561,34
0.158612587634196,35
0.218846564808153,36
0.170335536398494,37
0.285899551968373,38
0.293611387280671,39
0.292431606233559,40
0.157107504294552,41
