"mape","daycounts"
0.142014348789742,1
0.0971013996295414,2
0.332583614092256,3
0.203706931456169,4
0.0807139725802217,5
0.118107859978807,6
0.133395257375343,7
0.224618377848875,8
0.163296124915655,9
0.114046817110912,10
0.162088847179245,11
0.162173878802275,12
0.37252601681884,13
0.17534780033998,14
0.085287762224191,15
0.125582052177197,16
0.161556419510073,17
0.129700509207056,18
0.160118215832984,19
0.130824336838907,20
0.140791141475979,21
0.17989354568401,22
0.0975139929822524,23
0.0474938477298731,24
0.24278922508494,25
0.134908133201393,26
0.419241086595498,27
0.405911334044552,28
0.0516784131834169,29
0.127032888181416,30
4.24990404153801,31
4.84822762029293,32
5.42077362269118,33
5.12345627604284,34
5.53896723164765,35
