"mape","daycounts"
0.354897498292602,20
0.232253463375241,21
0.221853866407195,22
0.0746100219788911,23
0.0634550790425652,24
0.0798362372312053,25
0.775762756081885,26
0.83196494867635,27
0.592014709751567,28
0.465539954175744,29
0.630703323392478,30
0.701335965457938,31
0.306707208846085,32
0.544417705528316,33
0.539089750613323,34
0.0700213523328603,35
0.0621207794766829,36
0.438002761538542,37
0.269166683466561,38
0.354468616491697,39
0.282146148258424,40
0.374754426223051,41
0.171104538124515,42
0.439661091046383,43
0.467559630124006,44
0.261048415120002,45
0.130767578610828,46
0.153181402213587,47
0.194089036099599,48
0.193123999553844,49
0.435835533686681,50
0.428170268159385,51
