"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",75,75,75,75,76,76,77,76,82,76,77,74,75,74,72,71
"2013-03-20",78,79,79,73,69,62,63,62,62,63,63,62,61,62,60,60
"2013-03-22",71,71,71,71,72,66,64,63,63,62,63,63,62,63,62,60
"2013-03-26",75,75,77,77,76,77,77,76,77,84,83,79,82,82,87,72
"2013-03-28",74,75,76,74,73,74,73,76,77,79,80,78,80,80,79,79
"2013-10-22",86,78,79,79,80,80,79,79,80,78,79,78,78,77,73,76
"2013-10-24",85,77,77,78,78,79,78,79,79,79,78,78,78,77,76,76
"2013-10-28",80,81,80,81,80,81,81,80,80,79,78,78,79,84,84,84
