"date","obs.1","obs.2","obs.3","obs.4","obs.5","obs.6","obs.7","obs.8","obs.9","obs.10","obs.11","obs.12","obs.13","obs.14","obs.15","obs.16"
"2013-03-18",3.39,3.22,3.69,3.37,3.35,3.83,3.66,3.38,3.82,3.3,3.56,3.74,3.35,3.24,3.89,3.33
"2013-03-20",3.48,3.53,3.88,3.47,3.4,3.92,3.49,3.53,3.86,3.68,3.45,3.7,3.44,3.35,4.11,3.28
"2013-03-22",4.84,4.68,4.83,5.09,4.76,4.67,4.52,4.59,3.66,3.3,3.47,3.58,3.22,3.6,3.26,3.24
"2013-03-26",4.06,4.33,4.54,4.03,4.14,4.65,3.79,4.14,4.65,4.02,4.01,4.26,3.78,3.67,4,3.66
"2013-03-28",4.82,3.79,3.74,4.59,4.1,4.05,4.04,3.84,4.02,4.4,3.93,3.9,4.22,3.62,3.8,4
"2013-10-22",4.5,3.79,3.85,3.84,4.18,4.23,4.02,3.93,4.47,4.42,4.29,3.98,3.89,3.74,3.9,3.8
"2013-10-24",4.34,3.71,4.63,4.48,4.74,4.59,4.65,4.3,4.58,4.55,4.78,4.52,3.73,3.41,4.04,3.8
"2013-10-28",3.63,3.78,4.26,3.7,4.07,4.49,4.95,4.37,4.13,4.07,4.41,4.16,3.96,4.68,4.92,4.84
