"x"
18.24
17.4
18.07
18.1
21.24
23.42
29.25
17.39
18.02
18.19
17.94
20.82
29.94
17.98
17.67
17.88
20.07
28.55
22.98
17.88
19.9
16.96
20.85
30.55
17.09
20.07
22.35
23.63
35.36
34.71
54.81
41.57
58.11
46.31
55.13
52.98
48.78
60.09
45.21
60.05
55.52
50.12
62.14
60.7
60.05
60.19
61.71
62.62
61.75
61.9
62.45
61.7
61.2
41.15
49.19
35.46
49.03
44.35
38.61
54.6
30.33
50.06
43.45
39.87
55.17
46.81
43.93
54.63
34.57
48.82
58.85
53.38
54.39
54.05
51.72
52.56
51.32
52.6
53.54
52.08
52.12
52.79
53.38
54.33
53.2
52.69
39.8
54.33
46.53
37.47
46.2
28.03
42.09
27.88
21.82
20.69
61.25
61.5
61.75
62
61.75
61.5
61.25
61
61
61
61
61
61
61
61
61
61.25
61.5
61.75
62
62
62
62
62
62.25
62.5
62.75
63
63.25
63.5
63.75
64
64.5
65
65.5
66
66.75
67.5
68.25
69
70
71
72
73
72.5
72
71.5
71
71.25
71.5
71.75
72
72
72
72
72
72
72
72
72
71.75
71.5
71.25
71
71
71
71
71
70.25
69.5
68.75
68
67.5
67
66.5
66
65.5
65
64.5
64
63.75
63.5
63.25
63
62.75
62.5
62.25
62
62
62
62
62
62
62
62
62
0
0
1
0
0
0
0
