"mape","daycounts"
0.0395024173971988,40
0.0511737769572149,40
0.0295914023314989,40
0.0190544809375541,40
0.058356975915293,40
0.0229668394498329,40
0.0912106344740422,40
0.0384274636080057,40
0.0438855618045894,40
0.0974360596201344,40
0.0252609712369656,40
0.0887533499945452,40
0.0356237222232687,40
0.053430807745378,40
0.0467956471613185,40
0.0519501986010856,40
0.0619412964238195,40
0.0703828084077949,40
0.0341884925360463,40
0.0280414627169364,40
0.633955187922489,40
0.0220157351971048,40
0.0251610014911019,40
0.0525048848854649,40
0.0321277672776647,40
0.0652596728461116,40
0.125997351536074,40
0.040286604837716,40
0.0217073313557507,40
0.0373527267954681,40
0.0650559960620411,40
0.0251111493079598,40
0.0442330352058557,40
0.0441149733138555,40
0.028769480340257,40
0.10699600221111,40
0.13836330180546,40
0.0294106390443622,40
0.048123186865517,40
0.0484411149738894,40
0.0532164595482183,40
