"mape","daycounts"
0.170294218539616,28
0.18942418749538,28
0.189962838087069,28
0.162850378354177,28
0.231343402312017,28
0.101886223693946,28
0.0914142522945587,28
0.102199136859377,28
0.0947160263722489,28
0.0941207202810709,28
0.0987137932220651,28
0.0608335551293193,28
0.0743408659833933,28
0.126725020838248,28
0.119915037177636,28
0.0910670441783169,28
0.0586941068849298,28
0.080742031916058,28
0.103769760626751,28
0.10341326658145,28
0.134664240193665,28
0.104874471623818,28
0.114456284337165,28
0.104893892134288,28
0.116230230992261,28
0.132833791065161,28
0.0862248076859563,28
0.109170542365059,28
0.111815505666981,28
0.11584917971887,28
0.149119330308213,28
0.103072835612216,28
0.140457779364561,28
0.107840319081518,28
0.113171565963527,28
0.228995215673585,28
0.276591934465456,28
0.0897301079641386,28
0.102145850750617,28
0.0757737808613719,28
0.114650240033443,28
