"mape","daycounts"
0.179306158048661,28
0.0687343618615514,28
0.0759108200726975,28
0.286137730131037,28
0.236414734326804,28
0.0879647984346632,28
0.191115266203479,28
0.226671233181611,28
0.16187679953005,28
0.122208178684421,28
0.086653889293941,28
0.148985761326124,28
0.163388122366803,28
0.372371111539236,28
0.19170348128948,28
0.0884130606079974,28
0.116641486804928,28
0.162231043860135,28
0.138563016120826,28
0.17691873881743,28
0.111836078366966,28
0.128411571057084,28
0.175228434246492,28
0.0975139929822524,28
