"mape","daycounts"
0.136572546780512,27
0.158884096548093,27
0.24936669992796,27
0.153265851548817,27
0.0422715571074338,27
0.160053928997644,27
0.0733785823557952,27
0.234370806948172,27
0.0999968150398756,27
0.120214982814705,27
0.108163164269612,27
0.180694066233994,27
0.244465895472525,27
0.102769677312636,27
0.777844916007574,27
0.360724618537626,27
0.190771255425403,27
0.208173223489843,27
0.191568624175203,27
0.349062537301052,27
0.129276177301907,27
0.111331005549223,27
0.143786173635929,27
0.221282036123507,27
0.115840126397839,27
0.221986127771516,27
0.271563632666561,27
0.269931560203389,27
